date,temp_max_c,temp_min_c,temp_mean_c,humidity_pct,wind_speed_10m_ms,solar_radiation_mj,rainfall_mm,pressure_hpa,wind_speed_2m_ms,sunshine_hours,vpd_kpa,net_radiation_mj,penman_evaporation_mm,evaporation_pan_mm
2021-01-01,29.0,17.3,23.6,68,2.694444444444444,14.45,0.1,948.3,2.02,6.07,0.957,8.24,3.405,4.61
2021-01-02,29.3,18.8,23.2,66,2.638888888888889,16.35,0.0,948.4,1.97,6.87,1.062,9.714,3.904,5.18
2021-01-03,28.8,16.1,22.4,58,2.7222222222222223,17.02,0.1,946.7,2.04,7.15,1.216,9.704,4.157,5.64
2021-01-04,27.6,19.3,22.2,81,3.1666666666666665,13.05,4.6,946.8,2.37,5.48,0.564,8.153,2.886,4.08
2021-01-05,26.8,18.6,22.6,78,3.2777777777777777,10.03,0.4,947.8,2.45,4.21,0.623,6.486,2.601,3.43
2021-01-06,28.7,19.0,23.3,74,2.25,15.13,2.6,947.7,1.68,6.35,0.797,8.987,3.274,4.33
2021-01-07,26.1,19.5,22.6,85,3.3055555555555554,10.9,3.9,946.2,2.47,4.58,0.424,7.104,2.42,3.46
2021-01-08,26.4,20.1,22.5,84,3.0,6.61,1.7,945.4,2.24,2.78,0.464,4.953,1.93,2.69
2021-01-09,28.0,20.1,23.2,81,2.8055555555555554,12.39,5.7,946.3,2.1,5.2,0.583,7.901,2.817,3.69
2021-01-10,29.3,20.1,23.9,74,3.1111111111111107,15.44,0.2,947.1,2.33,6.48,0.836,9.409,3.627,4.92
2021-01-11,29.8,18.8,24.0,66,2.638888888888889,17.27,0.0,948.2,1.97,7.25,1.082,10.615,4.16,5.48
2021-01-12,29.9,17.6,23.7,61,2.944444444444444,18.12,0.0,948.9,2.2,7.61,1.215,11.055,4.56,6.01
2021-01-13,29.3,16.9,23.7,61,3.222222222222222,17.25,0.0,948.6,2.41,7.24,1.17,10.167,4.367,5.86
2021-01-14,29.4,19.6,24.1,58,3.0555555555555554,17.3,0.0,947.7,2.29,7.27,1.34,10.15,4.557,5.79
2021-01-15,30.1,17.2,23.3,58,3.0277777777777777,18.69,0.0,946.6,2.26,7.85,1.308,11.401,4.819,6.17
2021-01-16,30.6,17.5,23.7,61,2.2777777777777777,17.72,0.0,945.5,1.7,7.44,1.246,10.757,4.275,5.62
2021-01-17,30.6,19.3,24.6,63,2.4166666666666665,14.18,0.0,946.3,1.81,5.96,1.227,8.097,3.606,4.66
2021-01-18,31.1,21.0,25.5,61,2.888888888888889,16.74,0.0,947.9,2.16,7.03,1.366,10.072,4.478,6.02
2021-01-19,30.6,18.9,24.8,60,2.944444444444444,16.82,0.0,948.1,2.2,7.06,1.315,9.925,4.403,5.73
2021-01-20,30.4,18.8,23.7,63,2.944444444444444,19.07,0.0,948.7,2.2,8.01,1.205,12.156,4.821,6.22
2021-01-21,30.3,17.9,22.8,59,2.5,19.44,0.0,948.2,1.87,8.16,1.305,12.199,4.811,6.63
2021-01-22,30.5,17.0,23.4,56,2.388888888888889,19.58,0.0,947.7,1.79,8.22,1.387,12.128,4.851,6.43
2021-01-23,30.8,17.3,23.6,58,2.5555555555555554,19.84,0.0,947.8,1.91,8.33,1.347,12.534,4.973,6.64
2021-01-24,30.9,18.2,23.4,56,3.194444444444444,19.85,0.0,948.6,2.39,8.34,1.443,12.457,5.358,6.93
2021-01-25,30.4,16.5,22.8,57,2.833333333333333,19.9,0.0,949.1,2.12,8.36,1.337,12.459,5.055,6.66
2021-01-26,30.1,17.2,22.7,52,3.1111111111111107,19.85,0.0,948.3,2.33,8.34,1.495,12.087,5.329,7.12
2021-01-27,30.3,16.6,22.6,54,3.333333333333333,20.03,0.0,948.1,2.49,8.41,1.427,12.383,5.385,7.01
2021-01-28,30.5,17.5,22.9,55,3.3055555555555554,20.21,0.0,948.4,2.47,8.49,1.432,12.66,5.444,7.32
2021-01-29,29.6,14.2,22.6,56,2.611111111111111,19.39,0.0,949.3,1.95,8.14,1.269,11.79,4.701,6.18
2021-01-30,29.4,15.0,22.2,55,3.194444444444444,19.91,0.0,949.1,2.39,8.36,1.306,12.209,5.092,6.75
2021-01-31,29.3,15.2,22.7,53,3.7222222222222223,17.89,0.0,949.3,2.78,7.51,1.364,10.225,4.917,6.47
2021-02-01,29.1,16.0,22.8,58,3.638888888888889,18.09,0.0,951.1,2.72,7.6,1.228,10.713,4.753,6.62
2021-02-02,29.4,17.1,22.8,46,3.083333333333333,20.56,0.0,951.2,2.31,8.64,1.633,12.28,5.581,7.44
2021-02-03,29.2,14.7,22.6,41,3.0555555555555554,20.86,0.0,950.2,2.29,8.76,1.689,12.162,5.631,7.35
2021-02-04,29.0,16.8,22.8,43,2.4444444444444446,20.93,0.0,949.8,1.83,8.79,1.687,12.38,5.331,7.23
2021-02-05,28.9,16.3,21.6,55,3.222222222222222,19.81,0.0,948.9,2.41,8.32,1.313,12.107,5.097,6.61
2021-02-06,28.7,15.0,21.3,49,3.638888888888889,21.3,0.0,948.8,2.72,8.95,1.439,13.061,5.719,7.66
2021-02-07,28.5,14.4,21.1,45,3.6944444444444446,21.61,0.0,949.9,2.76,9.08,1.521,13.069,5.907,7.58
2021-02-08,29.4,13.5,21.3,39,3.5,21.99,0.0,950.0,2.62,9.24,1.722,13.068,6.187,8.05
2021-02-09,30.1,13.8,22.1,34,3.3055555555555554,22.18,0.0,949.1,2.47,9.32,1.929,12.918,6.368,8.52
2021-02-10,30.2,16.5,23.1,35,2.611111111111111,22.22,0.0,947.9,1.95,9.33,2.005,13.046,6.016,8.13
2021-02-11,30.6,15.5,23.5,36,2.9166666666666665,22.1,0.0,947.3,2.18,9.28,1.969,13.031,6.153,8.23
2021-02-12,31.1,16.7,23.7,41,2.8055555555555554,21.84,0.0,947.6,2.1,9.17,1.894,13.219,6.018,8.01
2021-02-13,31.3,18.9,24.4,46,3.194444444444444,21.28,0.0,948.7,2.39,8.94,1.823,13.139,6.098,8.09
2021-02-14,30.6,17.8,23.9,47,3.333333333333333,20.75,0.0,948.9,2.49,8.72,1.704,12.635,5.871,7.61
2021-02-15,30.5,18.3,23.5,54,3.7777777777777777,19.65,0.0,947.9,2.83,8.25,1.488,12.106,5.593,7.35
2021-02-16,30.7,16.0,22.8,63,4.111111111111112,21.62,0.0,947.2,3.08,9.08,1.153,14.42,5.622,7.43
2021-02-17,29.7,17.9,23.3,63,3.222222222222222,19.75,0.0,947.3,2.41,8.3,1.151,12.666,4.954,6.76
2021-02-18,29.5,17.7,22.4,65,4.305555555555555,18.53,2.9,948.3,3.22,7.78,1.076,11.631,4.876,6.55
2021-02-19,26.3,16.8,21.0,64,5.194444444444444,19.23,0.5,950.3,3.89,8.08,0.96,11.873,4.883,6.25
2021-02-20,28.6,15.3,21.8,52,6.305555555555555,20.97,0.0,949.8,4.72,8.81,1.357,12.941,6.41,8.6
2021-02-21,28.7,18.6,23.2,50,5.027777777777778,18.21,0.2,950.0,3.76,7.65,1.52,10.372,5.778,7.65
2021-02-22,28.5,17.2,23.5,57,3.611111111111111,17.56,0.6,950.5,2.7,7.38,1.259,10.15,4.648,6.1
2021-02-23,32.1,18.3,24.9,51,2.3333333333333335,22.02,0.0,949.1,1.75,9.25,1.687,14.236,5.733,7.74
2021-02-24,32.4,20.1,25.6,47,2.5833333333333335,21.27,0.0,948.1,1.93,8.93,1.912,13.339,5.887,8.0
2021-02-25,32.4,19.4,25.7,44,2.9166666666666665,20.47,0.0,948.4,2.18,8.6,1.993,12.35,5.929,8.05
2021-02-26,32.3,19.6,25.9,41,4.25,20.44,0.0,947.5,3.18,8.58,2.1,12.08,6.815,8.96
2021-02-27,33.6,20.2,26.9,37,2.5277777777777777,21.41,0.0,946.8,1.89,8.99,2.384,12.748,6.208,8.23
2021-02-28,34.4,20.5,27.4,34,3.333333333333333,22.27,0.0,947.0,2.49,9.35,2.591,13.328,7.211,9.66
2021-03-01,33.5,22.0,28.0,33,2.972222222222222,17.93,0.0,949.5,2.22,7.53,2.619,9.204,5.815,7.9
2021-03-02,34.0,19.7,26.7,35,3.416666666666667,21.92,0.0,949.9,2.56,9.21,2.475,13.057,7.093,9.39
2021-03-03,34.3,18.7,27.2,26,3.0555555555555554,23.9,0.0,948.7,2.29,10.04,2.799,14.003,7.479,9.94
2021-03-04,34.6,18.9,27.1,27,3.5,23.93,0.0,948.4,2.62,10.05,2.804,14.153,7.902,10.37
2021-03-05,34.2,20.0,27.2,29,3.1111111111111107,24.03,0.0,949.3,2.33,10.09,2.74,14.434,7.559,9.9
2021-03-06,34.3,20.1,26.5,35,3.2777777777777777,24.07,0.0,949.3,2.45,10.11,2.523,15.064,7.589,10.24
2021-03-07,34.0,20.5,26.9,31,3.8333333333333335,24.09,0.0,948.5,2.87,10.12,2.667,14.683,8.102,11.01
2021-03-08,34.3,19.3,26.9,26,2.944444444444444,24.12,0.0,948.5,2.2,10.13,2.83,14.206,7.49,9.98
2021-03-09,35.1,21.3,27.9,32,4.166666666666667,21.32,0.0,948.8,3.12,8.95,2.784,12.322,7.851,10.62
2021-03-10,34.3,20.9,27.7,33,3.75,22.2,0.0,948.7,2.8,9.32,2.64,13.167,7.532,10.1
